finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,gender,state
2200,Healthcare,Lutz Mario Helmig & family,76,Germany,Grebenhain,Hospitals,Healthcare,Germany,,True,M,
2200,Real Estate,Chulong Huang,64,China,Shenzhen,Real estate,Real Estate,Canada,,True,M,
2200,Finance & Investments,Thomas James,80,United States,Saint Petersburg,Finance,Finance & Investments,United States,,False,M,Florida
2200,Fashion & Retail,James Jannard,73,United States,San Juan Islands,Sunglasses,Fashion & Retail,United States,,True,M,Washington
2200,Automotive,Willis Johnson,75,United States,Franklin,Damaged cars,Automotive,United States,,True,M,Tennessee
2200,Fashion & Retail,Lai Shixian,48,China,Quanzhou,Sports apparel,Fashion & Retail,China,,True,M,
2200,Finance & Investments,Chris Larsen,62,United States,San Francisco,Cryptocurrency,Finance & Investments,United States,,True,M,California
2200,Fashion & Retail,Solomon Lew,78,Australia,Melbourne,Retail,Fashion & Retail,Australia,,True,M,
2200,Diversified,Liang Xinjun,54,Singapore,Singapore,Conglomerate,Diversified,Singapore,,True,M,
2200,Diversified,Harald Link,68,Thailand,Bangkok,Diversified,Diversified,Thailand,,False,M,
2200,Technology,Max Lytvyn,43,United States,San Francisco,Software,Technology,Canada,,True,M,California
2200,Energy,Igor Makarov,60,United States,Miami,Investments,Energy,Cyprus,,True,M,Florida
2200,Finance & Investments,Howard Marks,76,United States,New York,Private equity,Finance & Investments,United States,Oaktree Capital Group LLC,True,M,New York
2200,Finance & Investments,Charles Munger,99,United States,Los Angeles,Berkshire Hathaway,Finance & Investments,United States,Berkshire Hathaway Inc. (Cl A),True,M,California
2200,Real Estate,Adam Neumann,44,United States,Miami,WeWork,Real Estate,Israel,,True,M,Florida
2200,Diversified,Thi Phuong Thao Nguyen,52,Vietnam,Ho Chi Minh City,Airlines,Diversified,Vietnam,Sovico Holdings,True,F,
2200,Food & Beverage,Ni Yongpei & family,71,China,Liuan,Beverages,Food & Beverage,China,,True,M,
2200,Manufacturing,Heloise Pratt,60,Australia,Melbourne,"Manufacturing, investment",Manufacturing,Australia,,False,F,
2200,Technology,Qi Xiangdong,52,China,Beijing,Software,Technology,China,,True,M,
2200,Technology,Phillip T. (Terry) Ragon,73,United States,Boston,Health IT,Technology,United States,,True,M,Massachusetts
2200,Healthcare,Prathap Reddy,91,India,Chennai,Healthcare,Healthcare,India,,True,M,
2200,Sports,Jerry Reinsdorf,87,United States,Chicago,Sports teams,Sports,United States,,True,M,Illinois
2200,Technology,Chad Richison,52,United States,Edmond,Payroll processing,Technology,United States,,True,M,Oklahoma
2200,Fashion & Retail,"Karl Scheufele, III. & family",84,Switzerland,Geneva,Jewelry,Fashion & Retail,Switzerland,,True,M,
2200,Healthcare,Alice Schwartz,96,United States,El Cerrito,Biotech,Healthcare,United States,,True,F,California
2200,Technology,Alex Shevchenko,43,Canada,,Software,Technology,Canada,,True,M,
2200,Technology,Kavitark Ram Shriram,66,United States,Menlo Park,"Venture capital, Google",Technology,United States,Sherpalo Ventures,True,M,California
2200,Real Estate,Jeffrey Soffer,55,United States,Aventura,Real estate,Real Estate,United States,,False,M,Florida
2200,Technology,William Stone,67,United States,East Lyme,Software,Technology,United States,,True,M,Connecticut
2200,Finance & Investments,Henry Swieca,65,United States,New York,Hedge funds,Finance & Investments,United States,Talpion Fund Management,True,M,New York
2200,Diversified,Harley Sy,63,Philippines,Manila,Diversified,Diversified,Philippines,,False,M,
2200,Diversified,Teresita Sy-Coson,72,Philippines,Manila,Diversified,Diversified,Philippines,,False,F,
2200,Real Estate,Katsumi Tada,77,Japan,Tokyo,Real estate,Real Estate,Japan,,True,M,
